ENTREZ_ID	HGNC_ID	HUGO_SYMBOL	BAND	SYNONYMS
5159	8804	PDGFRB	5q33.1	CD140B|IBGC4|IMF1|JTK12|KOGS|PDGFR|PDGFR-1|PDGFR1|PENTT
10320	13176	IKZF1	7p12.2	Hs.54452|IK1|IKAROS|LYF1|LyF-1|PPP1R92|PRO0758|ZNFN1A1
2475	3942	MTOR	1p36.2	FRAP|FRAP1|FRAP2|RAFT1|RAPT1|SKS
4893	7989	NRAS	1p13.2	ALPS4|CMNS|N-ras|NCMS|NRAS1|NS6
983	1722	CDK1	10q21.1	CDC2|CDC28A|P34CDC2
10735	11355	STAG2	Xq25	SA-2|SA2|SCC3B|bA517O1.1
2776	4390	GNAQ	9q21	CMC1|G-ALPHA-q|GAQ|SWS
5156	8803	PDGFRA	4q12	CD140A|PDGFR-2|PDGFR2|RHEPDGFRA
5604	6840	MAP2K1	15q22.1-q22.33	CFC3|MAPKK1|MEK1|MKK1|PRKMK1
4207	39979	MEF2BNB-MEF2B	19p13.11	LOC729991-MEF2B|MEF2B
63035	25657	BCORL1	Xq25-q26.1	BCoR-L1|CXorf10
84133	18126	ZNRF3	22q12.1	BK747E2.3|RNF203
11035	10021	RIPK3	14q11.2	RIP3
28483	5532	IGHJ1	14q32.33	JH1
28481	5534	IGHJ2	14q32.33	JH2
2078	3446	ERG	21q22.3	erg-3|p55
2176	3584	FANCC	9q22.3	FA3|FAC|FACC
2177	3585	FANCD2	3p26	FA-D2|FA4|FACD|FAD|FAD2|FANCD
1399	2363	CRKL	22q11.21	-
2175	3582	FANCA	16q24.3	FA|FA-H|FA1|FAA|FACA|FAH|FANCH
2073	3437	ERCC5	13q33	COFS3|ERCC5-201|ERCM2|UVDR|XPG|XPGC
2072	3436	ERCC4	16p13.12	ERCC11|FANCQ|RAD1|XFEPS|XPF
2071	3435	ERCC3	2q21	BTF2|GTF2H|RAD25|TFIIH|TTD2|XPB
28488	5517	IGHD6-6	14q32.33	D(N4)|IGHD66
28726	12058	TRAJ29	14q11	-
28727	12057	TRAJ28	14q11	-
28724	12061	TRAJ31	14q11	-
6302	10539	TSPAN31	12q13.3	SAS
3815	6342	KIT	4q12	C-Kit|CD117|PBT|SCFR
84294	28224	UTP23	8q24.11	C8orf53
84295	18145	PHF6	Xq26.3	BFLS|BORJ|CENP-31
3265	5173	HRAS	11p15.5	C-BAS/HAS|C-H-RAS|C-HA-RAS1|CTLO|H-RASIDX|HAMSV|HRAS1|RASH1|p21ras
6427	10783	SRSF2	17q25.1	PR264|SC-35|SC35|SFRS2|SFRS2A|SRp30b
54949	26034	SDHAF2	11q12.2	C11orf79|PGL2|SDH5
3502	5527	IGHG3	14q32.33	IgG3
51059	28029	FAM135B	8q24.23	C8ORFK32
3507	5541	IGHM	14q32.33	AGM1|MU|VH
81608	19124	FIP1L1	4q12	FIP1|Rhe|hFip1
7428	12687	VHL	3p25.3	HRCA1|RCA1|VHL1|pVHL
2778	4392	GNAS	20q13.3	AHO|C20orf45|GNAS1|GPSA|GSA|GSP|NESP|POH|SCG6|SgVI
114034	15954	TOE1	1p33	-
23405	17098	DICER1	14q32.13	DCR1|Dicer|Dicer1e|HERNA|K12H4.8-LIKE|MNG1|RMSE2
6608	11119	SMO	7q32.3	FZD11|Gx|SMOH
7015	11730	TERT	5p15.33	CMM9|DKCA2|DKCB4|EST2|PFBMFT1|TCS1|TP2|TRT|hEST2|hTRT
7012	11727	TERC	3q26	DKCA1|PFBMFT2|SCARNA19|TR|TRC3|hTR
100271849	6995	MEF2B	19p13.11	RSRFR2
54790	25941	TET2	4q24	KIAA1546|MDS
6760	11340	SS18	18q11.2	SSXT|SYT
5781	9644	PTPN11	12q24	BPTP3|CFC|JMML|METCDS|NS1|PTP-1D|PTP2C|SH-PTP2|SH-PTP3|SHP2
5789	9668	PTPRD	9p23-p24.3	HPTP|HPTPD|HPTPDELTA|PTPD|RPTPDELTA
96610	49153	BMS1P20	22q11.22	IGL|IGLV|IGLV1|LOC96610
567	914	B2M	15q21.1	-
91010	23698	FMNL3	12q13.12	FHOD3|FRL2|WBP-3|WBP3
28477	5538	IGHJ4	14q32.33	JH4b
28475	5540	IGHJ6	14q32.33	JH6b
2956	7329	MSH6	2p16	GTBP|GTMBP|HNPCC5|HSAP|p160
2188	3587	FANCF	11p15	FAF
4602	7545	MYB	6q22-q23	Cmyb|c-myb|c-myb_CDS|efg
4603	7547	MYBL1	8q13.1	A-MYB|AMYB
1025	1780	CDK9	9q34.1	C-2k|CDC2L4|CTK1|PITALRE|TAK
7080	11825	NKX2-1	14q13	BCH|BHC|NK-2|NKX2.1|NKX2A|T/EBP|TEBP|TITF1|TTF-1|TTF1
1027	1785	CDKN1B	12p13.1-p12	CDKN4|KIP1|MEN1B|MEN4|P27KIP1
1026	1784	CDKN1A	6p21.2	CAP20|CDKN1|CIP1|MDA-6|P21|SDI1|WAF1|p21CIP1
1021	1777	CDK6	7q21-q22	MCPH12|PLSTIRE
1020	1774	CDK5	7q36	LIS7|PSSALRE
1029	1787	CDKN2A	9p21	ARF|CDK4I|CDKN2|CMM2|INK4|INK4A|MLM|MTS-1|MTS1|P14|P14ARF|P16|P16-INK4A|P16INK4|P16INK4A|P19|P19ARF|TP16
1028	1786	CDKN1C	11p15.5	BWCR|BWS|KIP2|WBS|p57|p57Kip2
23532	9336	PRAME	22q11.22	CT130|MAPE|OIP-4|OIP4
604	1001	BCL6	3q27	BCL5|BCL6A|LAZ3|ZBTB27|ZNF51
6490	10880	PMEL	12q13-q14	D12S53E|ME20|ME20-M|ME20M|P1|P100|PMEL17|SI|SIL|SILV|gp100
57492	18040	ARID1B	6q25.1	6A3-5|BAF250B|BRIGHT|DAN15|ELD/OSA1|MRD12|OSA2|P250R
28753	12048	TRAJ2	14q11	-
4921	2731	DDR2	1q23.3	MIG20a|NTRKR3|TKT|TYRO10
2132	3513	EXT2	11p12-p11	SOTV|SSMS
2130	3508	EWSR1	22q12.2	EWS|EWS-FLI1|bK984G1.4
2131	3512	EXT1	8q24.11	EXT|LGCR|LGS|TRPS2|TTV
8131	14124	NPRL3	16p13.3	C16orf35|CGTHBA|HS-40|MARE|NPR3|RMD11
440957	37257	SMIM4	3p21.1	C3orf78
1441	2439	CSF3R	1p35-p34.3	CD114|GCSFR
29072	18420	SETD2	3p21.31	HBP231|HIF-1|HIP-1|HSPC069|HYPB|KMT3A|SET2|p231HBP
29079	17903	MED4	13q14.2	ARC36|DRIP36|HSPC126|TRAP36|VDRIP
55193	30064	PBRM1	3p21	BAF180|PB1
5287	8972	PIK3C2B	1q32	C2-PI3K
9212	11390	AURKB	17p13.1	AIK2|AIM-1|AIM1|ARK2|AurB|IPL1|PPP1R48|STK12|STK5|aurkb-sv1|aurkb-sv2
80380	18731	PDCD1LG2	9p24.2	B7DC|Btdc|CD273|PD-L2|PDCD1L2|PDL2|bA574F11.2
472	795	ATM	11q22-q23	AT1|ATA|ATC|ATD|ATDC|ATE|TEL1|TELO1
28751	12070	TRAJ4	14q11	-
28750	12081	TRAJ5	14q11	-
28755	12029	TRAC	14q11	IMD7|TCRA|TRA|TRCA
28754	12037	TRAJ1	14q11	-
4853	7882	NOTCH2	1p13-p11	AGS2|HJCYS|hN2
4851	7881	NOTCH1	9q34.3	AOS5|AOVD1|TAN1|hN1
